length,layers_num,layers_type,units,g_filt,val_mae_og
15,1,LSTM,20,0.5,2.478907623027931
30,1,LSTM,20,0.5,2.5133182584842015
60,1,LSTM,20,0.5,2.523340265133438
15,1,LSTM,20,0.5,2.694674895670221
15,2,LSTM,20,0.5,2.689670627330911
15,2,LSTM,20,0.5,2.589718318511698
15,2,LSTM,20,0.5,2.6332689895191406
15,2,LSTM,40,0.5,2.539290665758065
15,2,LSTM,80,0.5,2.9263571477210366
15,2,LSTM,40,0.5,2.444934045144878
