length,layers_num,layers_type,units,dropout,loss,mae,val_loss,val_mae,epochs
1,3,LSTM,10,0.5,0.0252,0.1284,0.0255,0.1309,10
1,3,LSTM,20,0,0.0041,0.0504,0.0043,0.0502,56
1,3,LSTM,20,0.25,0.0191,0.1083,0.0171,0.1071,12
1,3,LSTM,20,0.5,0.0815,0.2292,0.0248,0.1278,0
1,3,LSTM,40,0,0.0042,0.0508,0.0043,0.0502,48
1,3,LSTM,40,0.25,0.0138,0.0866,0.0131,0.0924,19
1,3,LSTM,40,0.5,0.0565,0.1923,0.0254,0.1296,0
1,3,LSTM,80,0,0.0041,0.0502,0.0043,0.0502,69
1,3,LSTM,80,0.25,0.0126,0.0839,0.0078,0.0699,22
1,3,LSTM,80,0.5,0.0267,0.133,0.025,0.1299,8
1,3,LSTM,160,0,0.0043,0.0515,0.0043,0.0502,24
1,3,LSTM,160,0.25,0.0114,0.0784,0.0126,0.0939,28
1,3,LSTM,160,0.5,0.049,0.1672,0.0248,0.1294,0
5,1,GRU,10,0,0.0038,0.0485,0.004,0.0484,117
5,1,GRU,10,0.25,0.0133,0.0907,0.0106,0.0822,10
5,1,GRU,10,0.5,0.0473,0.1649,0.0185,0.1101,0
5,1,GRU,20,0,0.0039,0.0486,0.004,0.0483,101
5,1,GRU,20,0.25,0.0117,0.0844,0.0104,0.0814,6
5,1,GRU,20,0.5,0.021,0.1159,0.0169,0.1059,2
5,1,GRU,40,0,0.0039,0.0491,0.004,0.0483,89
5,1,GRU,40,0.25,0.0114,0.0837,0.0102,0.0805,3
5,1,GRU,40,0.5,0.0213,0.1172,0.0184,0.1102,1
5,1,GRU,80,0,0.0039,0.0493,0.004,0.0482,77
5,1,GRU,80,0.25,0.015,0.0955,0.0108,0.083,1
5,1,GRU,80,0.5,0.0278,0.1297,0.016,0.1028,0
5,1,GRU,160,0,0.0039,0.049,0.004,0.0484,50
5,1,GRU,160,0.25,0.0113,0.0837,0.0114,0.0853,4
5,1,GRU,160,0.5,0.028,0.1305,0.02,0.1129,0
5,1,LSTM,10,0,0.0039,0.0489,0.004,0.0488,83
5,1,LSTM,10,0.25,0.0137,0.0933,0.0102,0.0807,12
5,1,LSTM,10,0.5,0.0445,0.1613,0.0154,0.1005,0
5,1,LSTM,20,0,0.0039,0.0487,0.004,0.0484,117
5,1,LSTM,20,0.25,0.0144,0.0953,0.0103,0.081,5
5,1,LSTM,20,0.5,0.0437,0.1571,0.0158,0.1014,0
5,1,LSTM,40,0,0.0039,0.049,0.0039,0.0482,101
5,1,LSTM,40,0.25,0.0153,0.0985,0.0108,0.083,4
5,1,LSTM,40,0.5,0.0219,0.1177,0.0164,0.1039,1
5,1,LSTM,80,0,0.0039,0.0488,0.0039,0.0482,102
5,1,LSTM,80,0.25,0.0158,0.0989,0.0105,0.0817,6
5,1,LSTM,80,0.5,0.0219,0.1181,0.018,0.1085,2
5,1,LSTM,160,0,0.0039,0.0491,0.0039,0.048,93
5,1,LSTM,160,0.25,0.0139,0.094,0.0095,0.0773,11
5,1,LSTM,160,0.5,0.0213,0.1166,0.0175,0.1074,3
5,2,GRU,10,0,0.0039,0.0489,0.0039,0.0481,118
5,2,GRU,10,0.25,0.0138,0.0943,0.0105,0.0817,6
5,2,GRU,10,0.5,0.0222,0.1196,0.0184,0.1107,4
5,2,GRU,20,0,0.0039,0.0487,0.0039,0.0479,121
5,2,GRU,20,0.25,0.0134,0.0916,0.0106,0.0821,4
5,2,GRU,20,0.5,0.0231,0.1215,0.0182,0.11,1
5,2,GRU,40,0,0.004,0.0494,0.0039,0.0477,87
5,2,GRU,40,0.25,0.0158,0.0978,0.0111,0.0842,2
5,2,GRU,40,0.5,0.0347,0.1426,0.0185,0.1112,0
5,2,GRU,80,0,0.0041,0.0504,0.004,0.0486,30
5,2,GRU,80,0.25,0.0155,0.098,0.0098,0.0788,1
5,2,GRU,80,0.5,0.021,0.1172,0.0195,0.1112,1
5,2,GRU,160,0,0.0042,0.0508,0.004,0.0484,24
5,2,GRU,160,0.25,0.016,0.0996,0.012,0.0873,1
5,2,GRU,160,0.5,0.0276,0.1334,0.0172,0.1069,0
5,2,LSTM,10,0,0.0039,0.049,0.004,0.0486,80
5,2,LSTM,10,0.25,0.0124,0.087,0.0106,0.0823,17
5,2,LSTM,10,0.5,0.0227,0.1212,0.018,0.1091,4
5,2,LSTM,20,0,0.0039,0.049,0.0039,0.0482,83
5,2,LSTM,20,0.25,0.0144,0.0942,0.0112,0.0846,6
5,2,LSTM,20,0.5,0.0214,0.1166,0.0178,0.1087,4
5,2,LSTM,40,0,0.004,0.0497,0.004,0.0486,33
5,2,LSTM,40,0.25,0.0159,0.0991,0.0106,0.0824,6
5,2,LSTM,40,0.5,0.0223,0.1201,0.0175,0.1077,3
5,2,LSTM,80,0,0.0039,0.0487,0.0039,0.0478,106
5,2,LSTM,80,0.25,0.0161,0.1015,0.011,0.0837,2
5,2,LSTM,80,0.5,0.0206,0.1138,0.0161,0.1032,3
5,2,LSTM,160,0,0.0042,0.0508,0.004,0.0485,25
5,2,LSTM,160,0.25,0.0121,0.0859,0.0101,0.0805,5
5,2,LSTM,160,0.5,0.0231,0.1223,0.0172,0.1067,3
5,3,GRU,10,0,0.004,0.0495,0.004,0.0483,38
5,3,GRU,10,0.25,0.0159,0.0994,0.0109,0.0831,4
5,3,GRU,10,0.5,0.02,0.1138,0.0183,0.1098,5
5,3,GRU,20,0,0.004,0.0497,0.0041,0.0487,28
5,3,GRU,20,0.25,0.0156,0.0996,0.0112,0.0846,3
5,3,GRU,20,0.5,0.0228,0.121,0.0184,0.1102,2
5,3,GRU,40,0,0.0041,0.0502,0.004,0.0488,18
5,3,GRU,40,0.25,0.0075,0.068,0.0093,0.0778,15
5,3,GRU,40,0.5,0.0205,0.1159,0.016,0.1025,2
5,3,GRU,80,0,0.0043,0.0512,0.004,0.0489,20
5,3,GRU,80,0.25,0.0127,0.0888,0.0104,0.0813,3
5,3,GRU,80,0.5,0.0242,0.126,0.0175,0.107,1
5,3,GRU,160,0,0.0042,0.0514,0.004,0.0478,40
5,3,GRU,160,0.25,0.0137,0.0922,0.0101,0.0801,2
5,3,GRU,160,0.5,0.0251,0.1277,0.0193,0.1113,1
5,3,LSTM,10,0,0.0039,0.0491,0.004,0.0482,124
5,3,LSTM,10,0.25,0.0151,0.0971,0.0121,0.0879,10
5,3,LSTM,10,0.5,0.0236,0.1241,0.0204,0.1167,5
5,3,LSTM,20,0,0.0039,0.0494,0.004,0.0486,58
5,3,LSTM,20,0.25,0.0127,0.0897,0.0111,0.0842,9
5,3,LSTM,20,0.5,0.0224,0.1185,0.0197,0.1143,6
5,3,LSTM,40,0,0.0039,0.0494,0.0039,0.0477,96
5,3,LSTM,40,0.25,0.0158,0.0993,0.0113,0.0849,6
5,3,LSTM,40,0.5,0.0222,0.1206,0.0198,0.113,4
5,3,LSTM,80,0,0.004,0.0494,0.004,0.0484,36
5,3,LSTM,80,0.25,0.0097,0.0777,0.0114,0.085,7
5,3,LSTM,80,0.5,0.0236,0.124,0.0186,0.1112,3
5,3,LSTM,160,0,0.004,0.0498,0.0039,0.048,39
5,3,LSTM,160,0.25,0.0164,0.1017,0.0121,0.0884,3
5,3,LSTM,160,0.5,0.0217,0.1164,0.0162,0.1034,3
10,1,GRU,10,0,0.0038,0.0484,0.004,0.0486,105
10,1,GRU,10,0.25,0.0111,0.0829,0.0094,0.076,5
10,1,GRU,10,0.5,0.0342,0.1416,0.0151,0.0989,0
10,1,GRU,20,0,0.0038,0.0483,0.004,0.0486,123
10,1,GRU,20,0.25,0.0091,0.0747,0.0094,0.0764,6
10,1,GRU,20,0.5,0.0203,0.1135,0.0161,0.1023,1
10,1,GRU,40,0,0.0039,0.0492,0.004,0.0485,71
10,1,GRU,40,0.25,0.0157,0.1008,0.0092,0.0754,0
10,1,GRU,40,0.5,0.0326,0.1386,0.0158,0.1014,0
10,1,GRU,80,0,0.0039,0.049,0.0039,0.0483,97
10,1,GRU,80,0.25,0.0129,0.089,0.0092,0.0762,2
10,1,GRU,80,0.5,0.0173,0.1051,0.015,0.0986,1
10,1,GRU,160,0,0.0038,0.0488,0.004,0.0483,81
10,1,GRU,160,0.25,0.011,0.0828,0.0106,0.0817,3
10,1,GRU,160,0.5,0.0254,0.1226,0.0194,0.1127,0
10,1,LSTM,10,0,0.0038,0.0483,0.004,0.0486,129
10,1,LSTM,10,0.25,0.0114,0.084,0.0094,0.0761,10
10,1,LSTM,10,0.5,0.0353,0.1413,0.013,0.0911,0
10,1,LSTM,20,0,0.0038,0.0482,0.004,0.0486,88
10,1,LSTM,20,0.25,0.0124,0.0889,0.0095,0.0767,8
10,1,LSTM,20,0.5,0.0356,0.1393,0.0142,0.0952,0
10,1,LSTM,40,0,0.0038,0.0486,0.004,0.0485,34
10,1,LSTM,40,0.25,0.0126,0.089,0.0094,0.0761,12
10,1,LSTM,40,0.5,0.0258,0.1222,0.0134,0.0924,0
10,1,LSTM,80,0,0.0038,0.0485,0.004,0.0485,46
10,1,LSTM,80,0.25,0.0124,0.0891,0.0087,0.073,6
10,1,LSTM,80,0.5,0.0187,0.1098,0.0137,0.0935,4
10,1,LSTM,160,0,0.0039,0.0493,0.004,0.0486,17
10,1,LSTM,160,0.25,0.0115,0.0849,0.0091,0.0746,11
10,1,LSTM,160,0.5,0.0185,0.108,0.0131,0.0916,6
10,2,GRU,10,0,0.0039,0.049,0.004,0.0485,19
10,2,GRU,10,0.25,0.0116,0.0857,0.0091,0.0744,6
10,2,GRU,10,0.5,0.0196,0.1116,0.0152,0.0993,3
10,2,GRU,20,0,0.0039,0.0493,0.0039,0.0485,75
10,2,GRU,20,0.25,0.0132,0.0925,0.0091,0.0744,2
10,2,GRU,20,0.5,0.0186,0.1083,0.0146,0.097,2
10,2,GRU,40,0,0.0038,0.0487,0.0039,0.0478,116
10,2,GRU,40,0.25,0.0097,0.0777,0.0094,0.0766,5
10,2,GRU,40,0.5,0.0182,0.1066,0.0158,0.1013,2
10,2,GRU,80,0,0.0039,0.0491,0.0039,0.0482,58
10,2,GRU,80,0.25,0.012,0.0869,0.0096,0.0775,2
10,2,GRU,80,0.5,0.0194,0.1111,0.0143,0.0964,1
10,2,GRU,160,0,0.0039,0.049,0.0039,0.0481,54
10,2,GRU,160,0.25,0.0125,0.0891,0.0085,0.0721,2
10,2,GRU,160,0.5,0.0228,0.1197,0.0173,0.1051,0
10,2,LSTM,10,0,0.0039,0.0494,0.004,0.0486,56
10,2,LSTM,10,0.25,0.0123,0.0873,0.0097,0.0776,14
10,2,LSTM,10,0.5,0.0205,0.1146,0.0152,0.099,2
10,2,LSTM,20,0,0.0038,0.0487,0.004,0.0485,61
10,2,LSTM,20,0.25,0.0114,0.0842,0.0099,0.0783,11
10,2,LSTM,20,0.5,0.0203,0.1124,0.0151,0.0987,2
10,2,LSTM,40,0,0.004,0.0495,0.004,0.0486,17
10,2,LSTM,40,0.25,0.0133,0.0916,0.0096,0.0767,7
10,2,LSTM,40,0.5,0.0199,0.1128,0.0144,0.0965,3
10,2,LSTM,80,0,0.0039,0.0488,0.004,0.0485,55
10,2,LSTM,80,0.25,0.0146,0.097,0.0093,0.0755,4
10,2,LSTM,80,0.5,0.0258,0.1247,0.0147,0.0971,0
10,2,LSTM,160,0,0.0042,0.0514,0.004,0.0482,16
10,2,LSTM,160,0.25,0.0115,0.0853,0.009,0.0746,6
10,2,LSTM,160,0.5,0.0186,0.1081,0.0129,0.0905,4
10,3,GRU,10,0,0.0041,0.0505,0.0041,0.0485,22
10,3,GRU,10,0.25,0.0139,0.0952,0.0103,0.0794,5
10,3,GRU,10,0.5,0.0187,0.1083,0.0166,0.1037,4
10,3,GRU,20,0,0.004,0.0495,0.004,0.0481,59
10,3,GRU,20,0.25,0.0128,0.0895,0.0095,0.0762,4
10,3,GRU,20,0.5,0.0195,0.1103,0.0152,0.099,3
10,3,GRU,40,0,0.004,0.0496,0.004,0.0482,22
10,3,GRU,40,0.25,0.0134,0.0928,0.0105,0.081,2
10,3,GRU,40,0.5,0.0198,0.1123,0.0146,0.0969,2
10,3,GRU,80,0,0.0044,0.0523,0.004,0.0486,8
10,3,GRU,80,0.25,0.0101,0.0797,0.009,0.0748,3
10,3,GRU,80,0.5,0.022,0.1193,0.0156,0.1006,1
10,3,GRU,160,0,0.0046,0.0534,0.004,0.0486,6
10,3,GRU,160,0.25,0.0127,0.0892,0.0099,0.0788,2
10,3,GRU,160,0.5,0.0201,0.1139,0.0139,0.0946,1
10,3,LSTM,10,0,0.0039,0.0493,0.0039,0.0484,97
10,3,LSTM,10,0.25,0.0127,0.0888,0.0111,0.0831,13
10,3,LSTM,10,0.5,0.0204,0.1135,0.0163,0.1025,5
10,3,LSTM,20,0,0.0038,0.0488,0.0039,0.0483,73
10,3,LSTM,20,0.25,0.0135,0.093,0.0102,0.0793,10
10,3,LSTM,20,0.5,0.0222,0.1192,0.0165,0.1033,1
10,3,LSTM,40,0,0.0039,0.0488,0.0039,0.048,97
10,3,LSTM,40,0.25,0.0106,0.0807,0.0104,0.0808,11
10,3,LSTM,40,0.5,0.0219,0.1194,0.0159,0.1011,1
10,3,LSTM,80,0,0.0039,0.0493,0.004,0.0482,45
10,3,LSTM,80,0.25,0.0138,0.093,0.0108,0.0822,4
10,3,LSTM,80,0.5,0.0206,0.1137,0.0143,0.0953,2
10,3,LSTM,160,0,0.0041,0.0504,0.004,0.0486,34
10,3,LSTM,160,0.25,0.0074,0.0679,0.0091,0.0767,13
10,3,LSTM,160,0.5,0.0251,0.127,0.0158,0.101,1
30,1,GRU,10,0,0.0038,0.0484,0.0039,0.0486,160
30,1,GRU,10,0.25,0.0103,0.0813,0.0094,0.0761,5
30,1,GRU,10,0.5,0.0247,0.1247,0.0148,0.098,0
30,1,GRU,20,0,0.0038,0.0482,0.0039,0.0486,124
30,1,GRU,20,0.25,0.0107,0.0806,0.0093,0.0755,3
30,1,GRU,20,0.5,0.0142,0.0939,0.0129,0.0899,3
30,1,GRU,40,0,0.0038,0.0488,0.0039,0.0483,91
30,1,GRU,40,0.25,0.0095,0.0767,0.0081,0.0712,5
30,1,GRU,40,0.5,0.0163,0.0997,0.0138,0.0931,1
30,1,GRU,80,0,0.0038,0.0487,0.0039,0.0483,70
30,1,GRU,80,0.25,0.0088,0.0745,0.0089,0.0736,7
30,1,GRU,80,0.5,0.0138,0.0924,0.0105,0.0806,2
30,1,GRU,160,0,0.004,0.0497,0.0039,0.0487,15
30,1,GRU,160,0.25,0.0097,0.0776,0.0088,0.0735,4
30,1,GRU,160,0.5,0.0268,0.124,0.0135,0.0923,0
30,1,LSTM,10,0,0.0038,0.0481,0.0039,0.0485,102
30,1,LSTM,10,0.25,0.0119,0.0865,0.0091,0.0745,4
30,1,LSTM,10,0.5,0.018,0.1073,0.0109,0.0826,0
30,1,LSTM,20,0,0.0038,0.0481,0.0039,0.0486,83
30,1,LSTM,20,0.25,0.0097,0.0778,0.009,0.0744,21
30,1,LSTM,20,0.5,0.0139,0.0935,0.011,0.0828,4
30,1,LSTM,40,0,0.0038,0.0485,0.0039,0.0482,80
30,1,LSTM,40,0.25,0.0095,0.077,0.0086,0.0731,17
30,1,LSTM,40,0.5,0.0134,0.0903,0.0102,0.0792,7
30,1,LSTM,80,0,0.0037,0.048,0.0039,0.0483,72
30,1,LSTM,80,0.25,0.0081,0.0712,0.0088,0.0738,21
30,1,LSTM,80,0.5,0.0204,0.1116,0.0116,0.0849,0
30,1,LSTM,160,0,0.0039,0.0487,0.0039,0.0483,50
30,1,LSTM,160,0.25,0.0104,0.0811,0.0091,0.0744,9
30,1,LSTM,160,0.5,0.0146,0.0961,0.0118,0.0856,8
30,2,GRU,10,0,0.004,0.0493,0.004,0.0486,26
30,2,GRU,10,0.25,0.0097,0.0778,0.0098,0.0779,12
30,2,GRU,10,0.5,0.0342,0.1444,0.0154,0.0996,0
30,2,GRU,20,0,0.0038,0.0488,0.0038,0.0478,156
30,2,GRU,20,0.25,0.0092,0.0767,0.0092,0.0751,10
30,2,GRU,20,0.5,0.0163,0.1001,0.0128,0.0894,2
30,2,GRU,40,0,0.004,0.0494,0.004,0.0483,42
30,2,GRU,40,0.25,0.0101,0.0798,0.0089,0.0755,5
30,2,GRU,40,0.5,0.0138,0.0929,0.0122,0.0872,3
30,2,GRU,80,0,0.0038,0.0485,0.0039,0.048,88
30,2,GRU,80,0.25,0.0111,0.0835,0.0092,0.0751,3
30,2,GRU,80,0.5,0.0144,0.0951,0.0145,0.095,2
30,2,GRU,160,0,0.004,0.0501,0.0039,0.0485,29
30,2,GRU,160,0.25,0.0098,0.0789,0.0086,0.0741,3
30,2,GRU,160,0.5,0.0261,0.1285,0.015,0.0976,0
30,2,LSTM,10,0,0.0038,0.0482,0.0039,0.0487,83
30,2,LSTM,10,0.25,0.0098,0.0787,0.009,0.0743,14
30,2,LSTM,10,0.5,0.014,0.0932,0.0112,0.083,8
30,2,LSTM,20,0,0.0038,0.0487,0.004,0.0487,34
30,2,LSTM,20,0.25,0.0091,0.0763,0.0087,0.0735,19
30,2,LSTM,20,0.5,0.0153,0.0978,0.012,0.0866,4
30,2,LSTM,40,0,0.004,0.0496,0.004,0.0485,41
30,2,LSTM,40,0.25,0.0103,0.0799,0.0088,0.074,11
30,2,LSTM,40,0.5,0.0154,0.0981,0.0109,0.0819,3
30,2,LSTM,80,0,0.004,0.0498,0.0039,0.0485,29
30,2,LSTM,80,0.25,0.0085,0.0738,0.0078,0.0694,14
30,2,LSTM,80,0.5,0.0169,0.1025,0.0121,0.0867,1
30,2,LSTM,160,0,0.004,0.05,0.0039,0.0482,40
30,2,LSTM,160,0.25,0.0119,0.0861,0.0089,0.0735,8
30,2,LSTM,160,0.5,0.0152,0.0975,0.0102,0.0798,5
30,3,GRU,10,0,0.0039,0.0491,0.004,0.0485,14
30,3,GRU,10,0.25,0.01,0.0789,0.0097,0.0773,10
30,3,GRU,10,0.5,0.0167,0.1028,0.014,0.0937,3
30,3,GRU,20,0,0.004,0.0499,0.0039,0.0484,39
30,3,GRU,20,0.25,0.0099,0.079,0.0094,0.0762,6
30,3,GRU,20,0.5,0.0181,0.1066,0.0141,0.0941,2
30,3,GRU,40,0,0.0041,0.0509,0.0039,0.0483,27
30,3,GRU,40,0.25,0.0107,0.0833,0.0091,0.075,5
30,3,GRU,40,0.5,0.0165,0.1017,0.0136,0.0924,2
30,3,GRU,80,0,0.0042,0.0509,0.004,0.0484,18
30,3,GRU,80,0.25,0.0123,0.0881,0.0091,0.075,1
30,3,GRU,80,0.5,0.019,0.1089,0.0153,0.0992,1
30,3,GRU,160,0,0.0039,0.0488,0.0038,0.0478,42
30,3,GRU,160,0.25,0.0131,0.091,0.0104,0.0805,1
30,3,GRU,160,0.5,0.0189,0.1091,0.0152,0.0984,1
30,3,LSTM,10,0,0.0039,0.049,0.0039,0.0485,65
30,3,LSTM,10,0.25,0.0096,0.0772,0.0091,0.0754,26
30,3,LSTM,10,0.5,0.0155,0.0982,0.0123,0.0872,5
30,3,LSTM,20,0,0.0039,0.049,0.0039,0.0483,28
30,3,LSTM,20,0.25,0.0081,0.071,0.0094,0.0758,27
30,3,LSTM,20,0.5,0.0154,0.099,0.0122,0.0868,5
30,3,LSTM,40,0,0.0038,0.0486,0.0039,0.048,76
30,3,LSTM,40,0.25,0.0105,0.0813,0.0091,0.0756,11
30,3,LSTM,40,0.5,0.015,0.0971,0.0118,0.0863,3
30,3,LSTM,80,0,0.0038,0.0488,0.0039,0.0479,64
30,3,LSTM,80,0.25,0.0093,0.0758,0.0085,0.0726,11
30,3,LSTM,80,0.5,0.0153,0.0992,0.0125,0.0883,4
30,3,LSTM,160,0,0.0043,0.0514,0.0041,0.0486,15
30,3,LSTM,160,0.25,0.0108,0.0822,0.0088,0.0746,6
30,3,LSTM,160,0.5,0.0162,0.1011,0.0112,0.0836,3
90,1,GRU,10,0,0.0036,0.0473,0.0039,0.0478,121
90,1,GRU,10,0.25,0.0091,0.0755,0.0096,0.0766,8
90,1,GRU,10,0.5,0.0206,0.1129,0.0142,0.0945,1
90,1,GRU,20,0,0.0036,0.0474,0.0038,0.0477,62
90,1,GRU,20,0.25,0.0103,0.0794,0.0092,0.0754,3
90,1,GRU,20,0.5,0.0135,0.0928,0.0141,0.0945,3
90,1,GRU,40,0,0.0037,0.0478,0.0038,0.0475,105
90,1,GRU,40,0.25,0.0091,0.0749,0.0091,0.0749,6
90,1,GRU,40,0.5,0.0129,0.089,0.0176,0.1054,3
90,1,GRU,80,0,0.0037,0.0479,0.0039,0.0482,41
90,1,GRU,80,0.25,0.0109,0.0836,0.0094,0.0756,2
90,1,GRU,80,0.5,0.0132,0.091,0.013,0.0901,4
90,1,GRU,160,0,0.0036,0.0473,0.0037,0.0471,95
90,1,GRU,160,0.25,0.0097,0.0787,0.0094,0.0756,3
90,1,GRU,160,0.5,0.0224,0.115,0.0122,0.0869,0
90,1,LSTM,10,0,0.0037,0.048,0.0039,0.0486,77
90,1,LSTM,10,0.25,0.0088,0.0743,0.0087,0.0747,17
90,1,LSTM,10,0.5,0.0132,0.0911,0.0112,0.0842,4
90,1,LSTM,20,0,0.0037,0.0476,0.0038,0.0477,92
90,1,LSTM,20,0.25,0.0087,0.075,0.0087,0.0737,15
90,1,LSTM,20,0.5,0.0128,0.0893,0.0102,0.0796,10
90,1,LSTM,40,0,0.0036,0.0472,0.0039,0.0479,56
90,1,LSTM,40,0.25,0.0088,0.0737,0.0079,0.0708,19
90,1,LSTM,40,0.5,0.0146,0.0945,0.0111,0.0833,3
90,1,LSTM,80,0,0.0037,0.0483,0.0039,0.0484,40
90,1,LSTM,80,0.25,0.0096,0.0767,0.0082,0.0715,17
90,1,LSTM,80,0.5,0.0137,0.0915,0.0116,0.0857,6
90,1,LSTM,160,0,0.0037,0.0476,0.004,0.0486,21
90,1,LSTM,160,0.25,0.008,0.0702,0.0086,0.0732,19
90,1,LSTM,160,0.5,0.0155,0.0986,0.0114,0.0841,3
90,2,GRU,10,0,0.0038,0.0484,0.0039,0.0484,74
90,2,GRU,10,0.25,0.0106,0.0831,0.0096,0.0772,11
90,2,GRU,10,0.5,0.0154,0.0992,0.0136,0.0928,4
