length,layers_num,layers_type,units,dropout,loss,mae,val_loss,val_mae,epochs
90,2,GRU,20,0,0.0038,0.0483,0.004,0.0484,45
90,2,GRU,20,0.25,0.0124,0.089,0.01,0.0787,2
90,2,GRU,20,0.5,0.0258,0.1277,0.0155,0.0995,0
90,2,GRU,40,0,0.0038,0.0488,0.0037,0.0473,112
90,2,GRU,40,0.25,0.0111,0.0832,0.0093,0.0757,3
90,2,GRU,40,0.5,0.0187,0.1083,0.0135,0.0923,1
90,2,GRU,80,0,0.004,0.0496,0.0039,0.0478,9
90,2,GRU,80,0.25,0.0115,0.0849,0.0104,0.0805,2
90,2,GRU,80,0.5,0.0246,0.1231,0.0175,0.1068,0
90,2,GRU,160,0,0.0043,0.0516,0.0039,0.048,30
90,2,GRU,160,0.25,0.0106,0.0814,0.0116,0.0851,3
90,2,GRU,160,0.5,0.0193,0.1102,0.0179,0.1083,1
90,2,LSTM,10,0,0.0036,0.0473,0.0039,0.0483,87
90,2,LSTM,10,0.25,0.0097,0.0781,0.0091,0.0751,27
90,2,LSTM,10,0.5,0.0138,0.092,0.012,0.0866,8
90,2,LSTM,20,0,0.0037,0.0477,0.0038,0.0476,75
90,2,LSTM,20,0.25,0.0098,0.0783,0.0089,0.075,18
90,2,LSTM,20,0.5,0.0149,0.0961,0.012,0.0863,4
90,2,LSTM,40,0,0.0037,0.0481,0.004,0.0483,24
90,2,LSTM,40,0.25,0.0094,0.0762,0.0085,0.0728,14
90,2,LSTM,40,0.5,0.0144,0.095,0.0104,0.0809,8
90,2,LSTM,80,0,0.0038,0.0482,0.0041,0.0486,36
90,2,LSTM,80,0.25,0.0094,0.0772,0.0088,0.074,12
90,2,LSTM,80,0.5,0.0172,0.1038,0.0116,0.0851,1
90,2,LSTM,160,0,0.0039,0.0491,0.004,0.0485,22
90,2,LSTM,160,0.25,0.0095,0.0768,0.0088,0.0739,12
90,2,LSTM,160,0.5,0.0142,0.096,0.0105,0.0816,7
90,3,GRU,10,0,0.0038,0.0484,0.0039,0.0484,38
90,3,GRU,10,0.25,0.0099,0.0782,0.0101,0.0788,10
90,3,GRU,10,0.5,0.0164,0.1021,0.0135,0.0921,3
90,3,GRU,20,0,0.0038,0.0486,0.0039,0.0482,72
90,3,GRU,20,0.25,,,,,
90,3,GRU,20,0.5,,,,,
90,3,GRU,40,0,,,,,
90,3,GRU,40,0.25,,,,,
90,3,GRU,40,0.5,,,,,
90,3,GRU,80,0,,,,,
90,3,GRU,80,0.25,,,,,
90,3,GRU,80,0.5,,,,,
90,3,GRU,160,0,,,,,
90,3,GRU,160,0.25,,,,,
90,3,GRU,160,0.5,,,,,
90,3,LSTM,10,0,,,,,
90,3,LSTM,10,0.25,,,,,
90,3,LSTM,10,0.5,,,,,
90,3,LSTM,20,0,,,,,
90,3,LSTM,20,0.25,,,,,
90,3,LSTM,20,0.5,,,,,
90,3,LSTM,40,0,,,,,
90,3,LSTM,40,0.25,,,,,
90,3,LSTM,40,0.5,,,,,
90,3,LSTM,80,0,,,,,
90,3,LSTM,80,0.25,,,,,
90,3,LSTM,80,0.5,,,,,
90,3,LSTM,160,0,,,,,
90,3,LSTM,160,0.25,,,,,
90,3,LSTM,160,0.5,,,,,
180,1,GRU,10,0,,,,,
180,1,GRU,10,0.25,,,,,
180,1,GRU,10,0.5,,,,,
180,1,GRU,20,0,,,,,
180,1,GRU,20,0.25,,,,,
180,1,GRU,20,0.5,,,,,
180,1,GRU,40,0,,,,,
180,1,GRU,40,0.25,,,,,
180,1,GRU,40,0.5,,,,,
180,1,GRU,80,0,,,,,
180,1,GRU,80,0.25,,,,,
180,1,GRU,80,0.5,,,,,
180,1,GRU,160,0,,,,,
180,1,GRU,160,0.25,,,,,
180,1,GRU,160,0.5,,,,,
180,1,LSTM,10,0,,,,,
180,1,LSTM,10,0.25,,,,,
180,1,LSTM,10,0.5,,,,,
180,1,LSTM,20,0,,,,,
180,1,LSTM,20,0.25,,,,,
180,1,LSTM,20,0.5,,,,,
180,1,LSTM,40,0,,,,,
180,1,LSTM,40,0.25,,,,,
180,1,LSTM,40,0.5,,,,,
180,1,LSTM,80,0,,,,,
180,1,LSTM,80,0.25,,,,,
180,1,LSTM,80,0.5,,,,,
180,1,LSTM,160,0,,,,,
180,1,LSTM,160,0.25,,,,,
180,1,LSTM,160,0.5,,,,,
180,2,GRU,10,0,,,,,
180,2,GRU,10,0.25,,,,,
180,2,GRU,10,0.5,,,,,
180,2,GRU,20,0,,,,,
180,2,GRU,20,0.25,,,,,
180,2,GRU,20,0.5,,,,,
180,2,GRU,40,0,,,,,
180,2,GRU,40,0.25,,,,,
180,2,GRU,40,0.5,,,,,
180,2,GRU,80,0,,,,,
180,2,GRU,80,0.25,,,,,
180,2,GRU,80,0.5,,,,,
180,2,GRU,160,0,,,,,
180,2,GRU,160,0.25,,,,,
180,2,GRU,160,0.5,,,,,
180,2,LSTM,10,0,,,,,
180,2,LSTM,10,0.25,,,,,
180,2,LSTM,10,0.5,,,,,
180,2,LSTM,20,0,,,,,
180,2,LSTM,20,0.25,,,,,
180,2,LSTM,20,0.5,,,,,
180,2,LSTM,40,0,,,,,
180,2,LSTM,40,0.25,,,,,
180,2,LSTM,40,0.5,,,,,
180,2,LSTM,80,0,,,,,
180,2,LSTM,80,0.25,,,,,
180,2,LSTM,80,0.5,,,,,
180,2,LSTM,160,0,,,,,
180,2,LSTM,160,0.25,,,,,
180,2,LSTM,160,0.5,,,,,
180,3,GRU,10,0,,,,,
180,3,GRU,10,0.25,,,,,
180,3,GRU,10,0.5,,,,,
180,3,GRU,20,0,,,,,
180,3,GRU,20,0.25,,,,,
180,3,GRU,20,0.5,,,,,
180,3,GRU,40,0,,,,,
180,3,GRU,40,0.25,,,,,
180,3,GRU,40,0.5,,,,,
180,3,GRU,80,0,,,,,
180,3,GRU,80,0.25,,,,,
180,3,GRU,80,0.5,,,,,
180,3,GRU,160,0,,,,,
180,3,GRU,160,0.25,,,,,
180,3,GRU,160,0.5,,,,,
180,3,LSTM,10,0,,,,,
180,3,LSTM,10,0.25,,,,,
180,3,LSTM,10,0.5,,,,,
180,3,LSTM,20,0,,,,,
180,3,LSTM,20,0.25,,,,,
180,3,LSTM,20,0.5,,,,,
180,3,LSTM,40,0,,,,,
180,3,LSTM,40,0.25,,,,,
180,3,LSTM,40,0.5,,,,,
180,3,LSTM,80,0,,,,,
180,3,LSTM,80,0.25,,,,,
180,3,LSTM,80,0.5,,,,,
180,3,LSTM,160,0,,,,,
180,3,LSTM,160,0.25,,,,,
180,3,LSTM,160,0.5,,,,,
365,1,GRU,10,0,,,,,
365,1,GRU,10,0.25,,,,,
365,1,GRU,10,0.5,,,,,
365,1,GRU,20,0,,,,,
365,1,GRU,20,0.25,,,,,
365,1,GRU,20,0.5,,,,,
365,1,GRU,40,0,,,,,
365,1,GRU,40,0.25,,,,,
365,1,GRU,40,0.5,,,,,
365,1,GRU,80,0,,,,,
365,1,GRU,80,0.25,,,,,
365,1,GRU,80,0.5,,,,,
365,1,GRU,160,0,,,,,
365,1,GRU,160,0.25,,,,,
365,1,GRU,160,0.5,,,,,
365,1,LSTM,10,0,,,,,
365,1,LSTM,10,0.25,,,,,
365,1,LSTM,10,0.5,,,,,
365,1,LSTM,20,0,,,,,
365,1,LSTM,20,0.25,,,,,
365,1,LSTM,20,0.5,,,,,
365,1,LSTM,40,0,,,,,
365,1,LSTM,40,0.25,,,,,
365,1,LSTM,40,0.5,,,,,
365,1,LSTM,80,0,,,,,
365,1,LSTM,80,0.25,,,,,
365,1,LSTM,80,0.5,,,,,
365,1,LSTM,160,0,,,,,
365,1,LSTM,160,0.25,,,,,
365,1,LSTM,160,0.5,,,,,
365,2,GRU,10,0,,,,,
365,2,GRU,10,0.25,,,,,
365,2,GRU,10,0.5,,,,,
365,2,GRU,20,0,,,,,
365,2,GRU,20,0.25,,,,,
365,2,GRU,20,0.5,,,,,
365,2,GRU,40,0,,,,,
365,2,GRU,40,0.25,,,,,
365,2,GRU,40,0.5,,,,,
365,2,GRU,80,0,,,,,
365,2,GRU,80,0.25,,,,,
365,2,GRU,80,0.5,,,,,
365,2,GRU,160,0,,,,,
365,2,GRU,160,0.25,,,,,
365,2,GRU,160,0.5,,,,,
365,2,LSTM,10,0,,,,,
365,2,LSTM,10,0.25,,,,,
365,2,LSTM,10,0.5,,,,,
365,2,LSTM,20,0,,,,,
365,2,LSTM,20,0.25,,,,,
365,2,LSTM,20,0.5,,,,,
365,2,LSTM,40,0,,,,,
365,2,LSTM,40,0.25,,,,,
365,2,LSTM,40,0.5,,,,,
365,2,LSTM,80,0,,,,,
365,2,LSTM,80,0.25,,,,,
365,2,LSTM,80,0.5,,,,,
365,2,LSTM,160,0,,,,,
365,2,LSTM,160,0.25,,,,,
365,2,LSTM,160,0.5,,,,,
365,3,GRU,10,0,,,,,
365,3,GRU,10,0.25,,,,,
365,3,GRU,10,0.5,,,,,
365,3,GRU,20,0,,,,,
365,3,GRU,20,0.25,,,,,
365,3,GRU,20,0.5,,,,,
365,3,GRU,40,0,,,,,
365,3,GRU,40,0.25,,,,,
365,3,GRU,40,0.5,,,,,
365,3,GRU,80,0,,,,,
365,3,GRU,80,0.25,,,,,
365,3,GRU,80,0.5,,,,,
365,3,GRU,160,0,,,,,
365,3,GRU,160,0.25,,,,,
365,3,GRU,160,0.5,,,,,
365,3,LSTM,10,0,,,,,
365,3,LSTM,10,0.25,,,,,
365,3,LSTM,10,0.5,,,,,
365,3,LSTM,20,0,,,,,
365,3,LSTM,20,0.25,,,,,
365,3,LSTM,20,0.5,,,,,
365,3,LSTM,40,0,,,,,
365,3,LSTM,40,0.25,,,,,
365,3,LSTM,40,0.5,,,,,
365,3,LSTM,80,0,,,,,
365,3,LSTM,80,0.25,,,,,
365,3,LSTM,80,0.5,,,,,
365,3,LSTM,160,0,,,,,
365,3,LSTM,160,0.25,,,,,
365,3,LSTM,160,0.5,,,,,
