length,layers_num,layers_type,units,g_filt,val_mae_og
15,1,LSTM,20,0.5,3.0291400319680415
30,1,LSTM,20,0.5,3.003385904402962
60,1,LSTM,20,0.5,3.0073526397118218
30,1,LSTM,20,0.5,3.002802147638232
30,2,LSTM,20,0.5,2.9818353135245217
30,2,LSTM,20,0.5,2.9864274851481145
30,2,LSTM,20,0.5,3.0196538897923086
30,2,LSTM,40,0.5,2.9650914732615172
30,2,LSTM,80,0.5,3.0113595744541732
30,2,LSTM,40,0.5,3.00976786931356
30,2,LSTM,40,0.75,2.2946219773519623
30,2,LSTM,40,1.0,1.7472265220823755
30,2,LSTM,40,1.25,1.886712297712054
